gvkey,fyear,act,at,bkvlps,capx,ceq,ch,che,csho,cstk,dlc,dltt,dvt,ebit,ebitda,emp,intan,invt,itcb,ivaeq,ivao,lct,lt,mib,ni,oiadp,ppegt,ppent,pstkl,pstkrv,rect,revt,sale,seq,txdb,txditc,txt,utme,xad,xopr,xrd,sich,mkvalt,prcc_f,naics,sic,marketval,log_sales,log_employee_base,log_asset_total,leverage1,leverage2,leverage3,randd,cap2asset,ebitda2asset,firmyr_patent_count,firmyr_fcitation06_mean,firmyr_fcitation06_total,firmyr_bcitation06_mean,firmyr_bcitation06_total,firmyr_nclaims_mean,firmyr_nclaims_total,firmyr_complexity_mean,firmyr_generality_mean,firmyr_originality_mean
1021,2001,6.494,8.635,0.2931,0.203,2.717,0.198,0.198,9.271,0.093,0.142,3.873,0,-0.38,0.381,0.106,1.441,3.488,0,0,0,2.045,5.918,0,-1.738,-0.38,3.359,0.61,0,0,2.677,24.051,24.051,2.717,0,0,0.013,,,23.67,0.457,3861,2.9667,0.32,333316,3861,2.96672,3.180176,-2.244316,2.155824,0.0164447,0.6853503,0.4485235,-0.7830719,0.023509,0.0441228,3,8.331866,24.9956,124.5194,373.5581,24,72,5.178864,0.95,0.8558201
1034,2000,600.418,1610.435,21.0844,72.088,847.887,72.931,72.931,40.214,8.102,20.676,504.445,6.526,125.697,190.533,3.5,,253.038,0,0,0,206.438,762.548,0,55.508,125.697,536.598,345.042,0,0,243.533,900.794,900.794,847.887,29.404,29.404,20.176,,,710.261,43.276,2834,1764.389,43.875,325412,2834,1764.389,6.803277,1.252763,7.38426,0.0128388,0.4735044,0.3132353,3.767598,0.0447631,0.1183115,1,4.9468,4.9468,59.3616,59.3616,24,24,5.994677,,0.3181818
1036,2000,942.624,2325.377,23.5597,53.784,921.775,101.369,101.369,39.125,540.209,152.885,658.267,16.429,202.194,274.795,13.993,929.376,404.772,0,0,5.549,545.479,1403.602,0,56.55,202.194,651.532,342.267,0,0,376.108,2366.224,2366.224,921.775,0,0,38.772,,,2091.429,,3443,476.8359,12.1875,333415,3443,476.8359,7.769051,2.638557,7.751637,0.0657463,0.6036019,0.2830797,,0.0231292,0.1181722,5,1.96604,9.8302,41.02142,205.1071,16.6,83,5.349335,,0.3509085
1045,2001,6540,32841,34.7801,3640,5373,120,2992,154.485,182,772,9834,0,-1860,-456,,2717,822,0,,0,7512,27468,0,-1762,-1860,29659,19655,0,0,1414,18963,18963,5373,1627,1627,-994,,202,19419,,4512,3445.015,22.3,481111,4512,3445.015,9.850245,,10.39943,0.0235072,0.8363935,0.2994428,,0.1108371,-0.0138851,3,0,0,37.22273,111.6682,14,42,5.581078,,0.7214286
1045,2005,6164,29495,-8.0883,681,-1478,138,4324,182.732,195,1239,13456,0,102,1266,88.4,1194,515,0,,0,8320,30973,,-861,102,30005,18546,0,0,991,20712,20712,-1478,0,0,0,,144,19446,,4512,4062.132,22.23,481111,4512,4062.132,9.938469,4.481872,10.29198,0.0420071,1.05011,0.4562129,,0.0230887,0.0429225,1,0,0,206.2782,206.2782,14,14,6.331021,,0.9333333
1048,2000,325,1715,800000,99,800,,1,0.001,0.1,0,498,74,195,234,0.981,0,29,,52,61,153,915,0,139,195,3468,1272,0,0,279,592,592,800,230,230,76,,,358,,,,,486210,4922,,6.383507,-0.0191828,7.447168,0,0.5335277,0.290379,,0.0577259,0.1364432,1,12.0772,12.0772,93.5983,93.5983,27,27,5.874458,1,0.7870968
1056,2000,162.806,248.707,7.258,7.213,201.932,54.71,66.222,27.822,2.783,1.566,12.983,0,22.362,31.345,1.18,,37.367,0,0,0,28.902,46.775,0,14.4,22.362,91.078,52.222,0,0,51.086,185.924,185.924,201.932,0,0,6.2,,,154.579,10.98,3674,1382.406,49.6875,334416,3825,1382.406,5.225338,0.1655144,5.516275,0.0062966,0.1880727,0.052202,2.396075,0.029002,0.1260318,8,26.29742,210.3794,48.75389,390.0311,13.5,108,5.538354,0.1976191,0.5974728
1056,2001,189.471,310.252,4.2755,13.292,255.121,69.896,81.908,59.67,5.967,1.905,11.428,0,32.963,44.563,1.25,,48.423,0,0,0,37.097,55.131,0,21.354,32.963,106.624,62.137,0,0,49.409,232.808,232.808,255.121,0,0,11.45,,,188.245,21.409,3674,626.535,10.5,334416,3825,626.535,5.450214,0.2231435,5.737385,0.0061402,0.1776975,0.0368346,3.063811,0.0428426,0.1436349,3,10.11843,30.3553,41.25257,123.7577,5,15,4.54629,0,0.5518518
1056,2002,194.201,318.465,4.1579,6.133,249.482,38.559,38.559,60.002,6.001,2.171,12.638,0,7.233,19.693,2.03,37.994,72.104,0,0,0,49.305,68.983,0,-10.781,7.233,123.678,74.252,0,0,67.919,202.634,202.634,249.482,0,0,-2.95,,,182.941,24.793,3674,417.0139,6.95,334416,3825,417.0139,5.311401,0.7080358,5.763513,0.0068171,0.2166109,0.0396841,3.210561,0.019258,0.0618373,4,0,0,120.1162,480.465,20.25,81,5.623824,,0.4934814
1056,2003,211.238,330.616,4.2985,6.431,258.415,51.307,51.307,60.118,6.012,1.879,10.956,0,14.795,29.472,1.86,37.56,74.738,0,0,0,49.682,72.201,0,6.395,14.795,128.892,69.08,0,0,65.243,291.78,291.78,258.415,0,0,4.35,,,262.308,31.102,3825,461.7062,7.68,334416,3825,461.7062,5.676,0.6205765,5.800958,0.0056833,0.2183833,0.0331381,3.437272,0.0194516,0.0891427,1,0,0,759.3432,759.3432,15,15,5.3104,,0.8095238
1056,2004,327.48,551.391,5.75,11.138,427.097,98.502,98.502,74.278,7.428,4.77,5.505,0,40.255,62.111,2.398,128.89,94.617,0,0,0,89.615,124.294,0,12.147,40.255,134.369,74.372,0,0,97.031,414.101,414.101,427.097,9.445,9.445,12.457,,,351.99,54.192,3825,1060.69,14.28,334416,3825,1060.69,6.02611,0.874635,6.312444,0.0086508,0.225419,0.0099838,3.992533,0.0201998,0.1126442,1,0,0,795.5024,795.5024,10,10,5.687974,,0.8138528
1072,2000,1355.286,1885.098,8.6149,227.342,1505.034,496.186,496.186,174.702,1.764,12.173,13.722,24.463,824.548,954.43,18,72.909,486.613,0,0,0,343.533,380.064,0,567.537,824.548,1152.889,446.047,0,0,306.367,2608.113,2608.113,1505.034,5.095,5.095,273.723,,,1653.683,26.114,3670,3015.356,17.26,334416,3670,3015.356,7.866382,2.890372,7.541735,0.0064575,0.201615,0.0072792,3.262472,0.1205996,0.5063026,7,17.8607,125.0249,130.9363,916.5541,27.57143,193,6.394239,0.2484848,0.573652
1072,2001,1150.868,1691.599,8.45,75.445,1476.035,601.91,601.91,174.679,1.764,15.333,0,26.201,35.077,167.985,12.9,67.313,354.618,0,0,79.627,194.677,215.564,0,-7.232,35.077,1201.96,382.571,0,0,129.213,1249.98,1249.98,1476.035,2.516,2.516,0.226,,,1081.995,21.181,3670,3657.778,20.94,334416,3670,3657.778,7.130883,2.557227,7.43343,0.0090642,0.1274321,0,3.053105,0.0445998,0.0993055,7,17.50323,122.5226,100.0485,700.3393,21.14286,148,6.278107,0.6444444,0.6657321
1072,2002,1077.957,1700.513,8.4205,38.254,1463.156,504.866,504.866,173.761,1.764,3.422,0,26.146,-22.869,97.052,12.8,68.203,358.739,0,0,210.631,185.557,237.357,0,-12.438,-22.869,1315.756,327.7,0,0,128.019,1134.111,1134.111,1463.156,0,0,2,,,1037.059,21.359,3670,1563.849,9,334416,3670,1563.849,7.033604,2.549445,7.438685,0.0020123,0.1395796,0,3.061473,0.0224956,0.0570722,7,23.36631,163.5642,470.5339,3293.737,20.42857,143,5.918823,0.5555555,0.4806238
1072,2003,1101.979,1667.877,7.9848,33.712,1386.544,534.73,564.73,173.648,1.764,0.026,0,26.048,-27.842,65.955,13.15,69.748,293.869,0,0,168.985,214.89,281.333,0,-107.606,-27.842,1404.126,288.002,0,0,162.683,1136.577,1136.577,1386.544,0,0,-24.065,,,1070.622,13.877,3670,2863.456,16.49,334416,3670,2863.456,7.035777,2.576422,7.419307,0.0000156,0.1686773,0,2.630233,0.0202125,0.0395443,8,4.449575,35.5966,1078.128,8625.027,27,216,6.556732,,0.5741897
1072,2004,1118.136,1689.749,8.3215,48.324,1439.251,490.47,526.47,172.955,1.764,0,0,26.022,70.609,151.343,12,70.186,379.63,0,0,193.997,196.572,250.498,0,55.732,70.609,1505.383,265.892,0,0,156.065,1283.202,1283.202,1439.251,0,0,32.312,,,1131.859,11.049,3670,2118.699,12.25,334416,3670,2118.699,7.157114,2.484907,7.432335,0,0.1482457,0,2.40234,0.0285983,0.0895654,4,0,0,1347.628,5390.512,33,132,6.421475,,0.6370112
1072,2005,1203.772,1675.208,8.4087,41.328,1448.109,505.326,664.321,172.216,1.764,0,0,25.862,96.181,161.147,12.1,69.483,307.653,0,0,135.004,171.03,227.099,0,81.752,96.181,1468.386,232.95,0,0,177.448,1333.208,1333.208,1448.109,,,37.868,,,1172.061,10.892,3670,3048.223,17.7,334416,3670,3048.223,7.195343,2.493206,7.423693,0,0.1355647,0,2.388029,0.0246704,0.0961952,3,0,0,1459.461,4378.382,27,81,6.29703,,0.4635519
1075,2001,727.405,7981.748,29.4645,1040.585,2499.323,28.619,28.619,84.825,1531.038,531.902,2673.078,129.199,674.627,1102.53,7.6,0,108.238,,,619.024,1090.929,5482.425,0,312.166,674.627,9342.24,5907.315,0,0,443.372,4551.373,4551.373,2499.323,1064.993,1064.993,213.535,,,3448.843,,4911,3549.926,41.85,2211,4911,3549.926,8.423184,2.028148,8.984913,0.0666398,0.6868702,0.3348988,,0.1303706,0.1381314,4,0,0,54.34618,217.3847,27.5,110,5.587316,,0.6827561
1075,2002,812.688,8425.806,29.4357,895.522,2686.153,77.707,77.707,91.255,1737.258,383.206,2881.695,137.721,516.047,940.933,7.2,109.815,119.837,,,547.667,1055.115,5739.653,0,149.408,516.047,9946.729,6369.583,0,0,447.91,2637.279,2637.279,2686.153,1209.074,1209.074,138.1,,,1696.346,,4911,3110.883,34.09,2211,4911,3110.883,7.877503,1.974081,9.039055,0.04548,0.6811993,0.3420082,,0.1062832,0.1116728,4,0,0,555.3674,2221.47,30,120,6.319518,,0.6201182
1075,2003,969.047,9536.378,30.9984,722.919,2829.779,228.779,228.779,91.288,1744.354,511.561,2897.725,157.417,482.053,920.196,7.2,108.534,124.466,,,722.913,1150.974,6706.599,0,240.579,482.053,10590.28,7371.556,0,0,445.138,2817.852,2817.852,2829.779,1329.253,1329.253,105.56,,,1897.656,,4911,3653.346,40.02,2211,4911,3653.346,7.94373,1.974081,9.162869,0.0536431,0.7032648,0.3038601,,0.0758065,0.0964932,3,0,0,132.4331,397.2993,24.66667,74,5.478967,,0.4280702
1075,2004,1137.13,9896.747,32.1397,554.543,2950.196,163.366,344.541,91.793,1769.047,688.195,2584.985,166.772,506.259,907.364,7.2,105.486,121.845,,,874.439,1625.896,6946.551,0,243.195,506.259,10854.97,7430.001,0,0,456.194,2899.725,2899.725,2950.196,1227.553,1227.553,128.857,,,1992.361,,4911,4076.527,44.41,2211,4911,4076.527,7.972371,1.974081,9.199962,0.0695375,0.7019024,0.2611954,,0.0560329,0.0916831,2,6.67095,13.3419,177.1511,354.3022,14,28,4.73301,,0.5269231
1078,2000,7376.241,15283.25,5.5442,,8570.906,914.218,1156.718,1545.934,2218.234,479.454,1076.368,1176.694,3262.068,4089.499,60.571,1555.26,1741.331,0,491,637.979,4297.54,6712.348,,2785.977,3262.068,10127.9,4816.911,0,0,2693.651,13745.92,13745.92,8570.906,0,0,1030.43,,,9656.417,1351.024,2834,74881.18,48.4375,325412,2834,74881.18,9.528497,4.103816,9.634513,0.0313712,0.4391963,0.0704279,7.208618,,0.2675804,102,7.006133,714.6256,196.303,20022.9,17.7549,1811,6.510389,0.5073947,0.5333468
1078,2001,8419.189,23296.42,5.8278,,9059.432,657.378,713.54,1554.53,2643.443,2953.335,4335.493,1303.534,3537.932,4705.95,71.426,7294.32,2212.035,0,392,647.214,7926.817,14236.99,,1550.39,3537.932,11225.41,5551.547,0,0,3353.641,16285.25,16285.25,9059.432,0,0,332.758,,,11579.3,2907.952,2834,86665.05,55.75,325412,2834,86665.05,9.698015,4.268662,10.05606,0.126772,0.6111235,0.1861012,7.975204,,0.2020031,95,4.83183,454.192,162.0942,15236.85,20.13684,1913,6.265422,0.5546737,0.6046102
1078,2002,9121.772,24259.1,6.8228,1296.397,10664.55,704.45,966.127,1563.068,2891.266,2148.654,4273.973,1468.643,3940.841,5118.186,71.819,7651.781,2441.302,0,370,250.779,7002.202,13594.55,,2793.703,3940.841,12147.67,5828.122,0,0,3613.218,17684.66,17684.66,10664.55,,,879.71,,341.264,12566.48,1669.492,2834,62522.72,40,325412,2834,62522.72,9.780453,4.274149,10.09655,0.088571,0.5603896,0.1761802,7.420275,0.0534396,0.21098,57,3.08813,176.0234,250.5243,14279.88,18.07018,1030,6.512992,0.5833333,0.5105802
1078,2003,10290.42,26715.34,8.3555,1246.741,13072.26,995.124,1286.421,1564.518,3034.054,2537.357,3452.329,1531.71,4164.772,5438.763,72.181,8539.29,2738.439,0,340,406.357,7639.535,13643.08,,2753.233,4164.772,13290.75,6281.806,0,0,3989.411,19680.56,19680.56,13072.26,,,981.184,,344.141,14241.8,1833.712,2834,72906.54,46.6,325412,2834,72906.54,9.887386,4.279177,10.19299,0.0949775,0.5106835,0.1292265,7.514098,0.0466676,0.203582,40,0.1837675,7.3507,287.1234,11484.94,15.725,629,6.142628,,0.5293311
1078,2004,10734.49,28767.49,9.1831,1291.633,14325.78,1225.628,2058.962,1560.024,3239.575,1992.683,4787.934,1622.148,4455.326,5744.026,60.6,10856.72,2620.463,0,76,145.849,6825.644,14441.71,,3235.851,4455.326,12501.69,6007.874,0,0,3696.115,19680.02,19680.02,14325.78,,,949.764,,227.882,13935.99,1975.759,2834,72775.12,46.65,325412,2834,72775.12,9.887359,4.104295,10.267,0.0692686,0.5020149,0.1664356,7.588708,0.044899,0.1996707,13,0,0,171.9227,2234.995,16.69231,217,6.637114,,0.5742985
1078,2005,11386.03,29141.2,9.3652,1207.493,14415.27,2893.687,2956.093,1539.235,3523.766,2062.01,4571.504,1704.077,4835.399,6194.338,59.735,9960.894,2541.979,0,167,134.013,7415.514,14725.93,,3372.065,4835.399,12760.42,6003.141,0,0,3576.794,22287.81,22287.81,14415.27,583.077,583.077,1247.855,,,16093.47,1838.306,2834,60692.04,39.43,325412,2834,60692.04,10.0118,4.089918,10.27991,0.0707593,0.5053303,0.1568742,7.5166,0.0414359,0.2125629,2,0,0,196.5865,393.1729,10,20,6.039311,,0.6011904
1099,2000,26.595,46.21,4.4723,2.366,22.706,0.206,0.206,5.077,5.078,0.249,10.313,0,5.019,7.195,0.596,0,11.14,0,0,0,9.649,23.504,0,0.802,5.019,41.227,14.442,0,0,12.207,80.914,80.914,22.706,1.686,1.686,0.785,,,73.719,3.618,3612,43.7891,8.625,335311,3612,43.78912,4.393387,-0.5175146,3.833196,0.0053884,0.5086345,0.2231768,1.285921,0.051201,0.1557022,1,7.4974,7.4974,172.4402,172.4402,36,36,5.211155,1,0.7835749
1104,2000,16.449,21.118,2.25,0.457,7.893,0.022,0.022,3.508,9.033,2.589,4.924,0,2.429,3.019,0.134,,10.022,0,0,0,7.988,13.225,0,1.061,2.429,8.732,3.122,0,0,5.973,34.413,34.413,7.893,0,0,0.035,,3.17,31.394,0.046,3420,9.8663,2.8125,332215,3420,9.86625,3.538435,-2.009916,3.050126,0.1225968,0.626243,0.233166,-3.079114,0.0216403,0.1429586,1,6.0374,6.0374,12.0748,12.0748,6,6,6.029388,1,0.5
1104,2001,16.461,20.173,2.5431,0.308,8.672,0.172,0.172,3.41,9.033,2.841,2.875,0,2.47,3.036,0.121,,8.803,0,0,0,7.701,11.501,0,1.28,2.47,7.852,2.259,0,0,6.439,36.165,36.165,8.672,0.52,0.52,0.432,,,33.129,0.147,3420,13.299,3.9,332215,3420,13.299,3.588092,-2.111965,3.004345,0.1408318,0.5701185,0.1425172,-1.917323,0.0152679,0.1504982,2,2.54705,5.0941,40.7528,81.5056,16.5,33,5.483471,,0.8392857
1104,2003,17.191,20.023,3.1167,0.424,10.179,1.391,1.391,3.266,9.132,2.176,2.752,0,2.486,2.92,0.09,0.089,8.179,0,0,0,6.413,9.844,0,1.222,2.486,8.651,2.385,0,0,7.075,34.975,34.975,10.179,0.156,0.156,1.12,,0.669,32.055,0.347,3420,17.6364,5.4,332215,3420,17.6364,3.554634,-2.407946,2.996882,0.108675,0.4916346,0.1374419,-1.058431,0.0211756,0.1458323,2,0,0,366.0459,732.0918,9.5,19,6.44794,,0.8647059
1107,2002,811.993,1143.352,103.6351,30.194,280.022,21.605,41.952,2.702,279.728,54.547,163.075,95.58,104.02,135.679,5.268,0,399.133,0,,0,585.726,863.33,0,82.091,104.02,522.539,284.032,0,0,342.452,3029.097,3029.097,280.022,0,0,-0.467,,4.52,2893.418,,5070,,,4217,5070,,8.01602,1.661651,7.041719,0.047708,0.7550868,0.1426289,,0.0264083,0.1186677,1,0,0,37.9515,37.9515,20,20,5.477823,,0.8
1115,2000,130.123,218.615,,,111.415,4.864,4.864,21.045,161.633,27.291,,,28.227,,,27.248,29.346,0,0,0,104.326,,0,-1.229,28.227,,16.005,,,71.66,324.388,324.388,111.415,0,0,4.809,,,296.161,15.738,,437.9991,20.8125,334517,3844,437.9991,5.78194,,5.387312,0.1248359,,,2.756078,,,2,6.7355,13.471,28.84675,57.6935,17.5,35,4.444633,0,0.0769231
1154,2000,14.026,19.21,1.0452,0.655,4.601,0.048,0.048,4.402,0.88,7.025,0.12,0,0.905,2.005,0.173,0,6.893,0,0,0,13.919,14.609,0,0.331,0.905,16.304,5.184,0,0,6.361,30.646,30.646,4.601,0.57,0.57,0.006,,,28.641,0.625,8711,6.603,1.5,541330,8711,6.603,3.422502,-1.754464,2.955431,0.3656949,0.7604893,0.0062467,-0.4700036,0.0340968,0.1043727,1,7.5882,7.5882,75.882,75.882,16,16,5.173258,,0.8
1154,2002,18.81,22.931,1.6429,0.567,7.232,3.234,3.234,4.402,0.881,0.622,1.582,0,3.06,4.119,0.18,0,7.565,0,0,0,13.739,15.699,0,2.36,3.06,17.346,4.121,0,0,6.672,40.857,40.857,7.232,0.378,0.378,0.479,,,36.738,0.368,8711,22.4502,5.1,541330,8711,22.4502,3.710078,-1.714798,3.13249,0.0271249,0.6846191,0.0689896,-0.9996724,0.0247264,0.1796258,1,7.4863,7.4863,7.4863,7.4863,15,15,6.441921,,
1161,2000,2657.689,5767.735,10.0964,805.474,3171.667,591.457,1293.165,314.137,3.141,129.57,1167.973,0,888.736,1467.806,14.696,0,343.541,0,261.728,0,1224.109,2596.068,0,983.026,888.736,5461.801,2636.467,0,0,547.2,4644.187,4644.187,3171.667,203.986,203.986,256.868,,148,3176.381,641.799,3674,4339.017,13.8125,334413,3674,4339.017,8.443372,2.687575,8.660035,0.0224646,0.4501018,0.2025011,6.464275,0.1396517,0.2544857,1223,15.04978,18405.89,49.60449,60666.3,17.62878,21560,6.008,0.3265594,0.4102611
1161,2001,2353.109,5647.242,10.4406,678.865,3555.055,427.288,869.997,340.503,3.405,331.698,672.945,0,37.948,660.815,14.415,0,380.474,0,363.611,0,1313.937,2092.187,0,-60.581,37.948,6126.278,2739.138,0,0,659.783,3891.754,3891.754,3555.055,105.305,105.305,-14.463,,184,3230.939,650.93,3674,5400.377,15.86,334413,3674,5400.377,8.266615,2.668269,8.638923,0.0587363,0.3704794,0.1191635,6.478402,0.1202118,0.1170155,964,14.80209,14269.21,81.366,78436.83,20.38589,19652,6.069203,0.2958823,0.4103966
1161,2002,2019.678,5619.181,7.1613,705.147,2467.265,428.748,1037.705,344.528,3.445,161.689,1779.837,0,-852.811,-96.642,12.146,0,432.603,0,382.942,0,1372.079,3151.916,0,-1303.012,-852.811,7039.663,2880.809,0,0,395.828,2697.029,2697.029,2467.265,0,0,44.586,,199,2793.671,816.114,3674,2225.651,6.46,334413,3674,2225.651,7.899906,2.497,8.633942,0.0287745,0.5609209,0.3167431,6.704554,0.1254893,-0.0171986,769,12.16564,9355.379,109.1935,83969.78,21.59948,16610,6.032862,0.2703912,0.401957
1161,2003,2900.278,7094.345,6.9616,570.316,2438.31,1185.804,1313.367,350.253,3.502,193.266,1899.674,0,-247.277,748.386,14.3,0,697.658,0,0,0,1452.27,3938.395,717.64,-274.49,-247.277,10072.39,3848.492,0,0,609.457,3519.168,3519.168,2438.31,157.69,157.69,2.936,,148,2770.782,852.075,3674,5218.77,14.9,334413,3674,5218.77,8.16598,2.660259,8.867053,0.0272423,0.5551457,0.267773,6.747674,0.0803902,0.1054905,412,8.06158,3321.371,153.7037,63325.93,20.06068,8265,6.203467,0.2002969,0.3306317
1161,2004,3227.997,7844.21,7.6838,1440.137,3010.053,918.377,1195.559,391.739,3.917,230.828,1628.268,0,227.265,1451.517,15.9,0,874.79,0,0,6.653,1846.376,3993.516,840.641,91.156,227.265,11037.58,4233.807,0,0,719.572,5001.435,5001.435,3010.053,104.246,104.246,5.838,,225,3549.918,934.574,3674,8626.093,22.02,334413,3674,8626.093,8.51748,2.766319,8.967531,0.0294265,0.5091037,0.2075758,6.840091,0.1835923,0.1850431,160,2.925092,468.0147,234.2401,37478.42,18.9875,3038,6.277073,0,0.3339058
1161,2005,3558.836,7287.779,7.696,1513.173,3351.837,633.067,1794.766,435.527,4.355,43.224,1327.065,0,247.655,1466.999,9.86,0,388.631,0,721.342,3.307,1821.961,3700.954,234.988,165.483,247.655,5487.605,2701,0,0,948.817,5847.577,5847.577,3351.837,92.606,92.606,-6.642,,333,4380.578,1144.025,3674,13327.13,30.6,334413,3674,13327.13,8.673782,2.288486,8.893954,0.005931,0.5078301,0.1820946,7.042308,0.2076316,0.2012958,16,0,0,284.0814,4545.302,22.0625,353,6.120376,,0.3482372
